Subregion,Location type,Capacity (m3/d),Unit size (m3/d),Technology,Membrane type (RO),Feedwater,Customer type,Industry,Customer,Plant type,Plant supplier,Plant supplier share,Procurement model,EPC price,Product water salinity,EPC contractor (desal),Equipment supplier : Membranes (Not specified / Other),Holding Company,RO System,RO Feed Pump Drive,RO Membrane Type,RO Pre Treament 1st Stage,Pretreatment
Western Europe,Land based,1200,600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Refining/Chemicals,,Stand-alone,Hager+Elsasser GmbH,100,EPC,"880,000 USD",,Hager+Elsasser GmbH,,Aquarion AG,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,730,730,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Discharge,,,Stand-alone,Ajax ,100,EPC,"1,070,000 USD",,Ajax,Ajax,Ajax,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,720,360,RO (Reverse Osmosis),,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Refining/Chemicals,Novartis,Stand-alone,Hager+Elsasser GmbH,100,EPC,"530,000 USD",,Hager+Elsasser GmbH,,Aquarion AG,Single Pass,Electric Motor,,,  
Western Europe,Land based,480,480,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Hager+Elsasser GmbH,100,EPC,"500,000 USD",,Hager+Elsasser GmbH,DuPont (now Dupont Water Solutions),Aquarion AG,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,432,432,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Hager+Elsasser GmbH,100,EPC,"320,000 USD",,Hager+Elsasser GmbH,,Aquarion AG,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,170,170,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Ajax ,100,EPC,"180,000 USD",,Ajax,Ajax,Ajax,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,3000,1000,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,,Stand-alone,Overhoff Technology Corporation,100,EPC,"4,000,000 USD",,Overhoff Technology Corporation,,Overhoff Technology Corporation,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,600,600,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Metito,100,EPC,"175,000 USD",,Metito,"Toray Industries, Inc.",Metito,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,528,528,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Culligan International Company,100,EPC,"540,000 USD",,Culligan International Company,,Culligan International Company,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,151,151,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,Metito,100,EPC,"160,000 USD",,Metito,DuPont (now Dupont Water Solutions),Metito,Single Pass,Electric Motor,,,  
East Asia / Pacific,Land based,18060,1641.82,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"12,780,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,17924,17924,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,GE Ionics,100,EPC,"11,380,000 USD",,GE Ionics,,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,7500,3750,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"5,540,000 USD",,Nomura Micro Science,Nitto Denko Corporation,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,7500,3750,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"5,540,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,5500,5500,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"3,430,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,5500,5500,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"3,430,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,5500,5500,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"3,430,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4680,780,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"3,820,000 USD",,Nomura Micro Science,Nitto Denko Corporation,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4600,4600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,950,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4600,4600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,950,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4320,4320,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"3,130,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4080,4080,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"2,660,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4000,4000,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,620,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4000,4000,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,620,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3700,3700,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,440,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3600,3600,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"2,670,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3600,1800,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"2,840,000 USD",,Nomura Micro Science,Nitto Denko Corporation,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3600,3600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,390,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3120,1040,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"2,530,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,3000,3000,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Organo,100,EPC,"2,030,000 USD",,Organo,,Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2940,1470,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"2,090,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2880,2880,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"2,190,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,2400,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"1,660,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,2400,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),Power,,Stand-alone,Organo,100,EPC,"3,310,000 USD",,Organo,"Toray Industries, Inc.",Organo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2000,666.67,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,"Taiwan Semiconductor Manufacturing Company, Ltd.",Stand-alone,Christ Water Technology Group ,100,EPC,"1,460,000 USD",,Christ Water Technology Group ,DuPont (now Dupont Water Solutions),Ovivo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2000,666.67,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Christ Water Technology Group ,100,EPC,"1,460,000 USD",,Christ Water Technology Group ,"Toray Industries, Inc.",Ovivo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1560,1560,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"1,110,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1440,360,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"1,190,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1200,1200,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"970,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1080,1080,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"870,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,720,720,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"590,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,708,708,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Noble Energy Inc.,100,EPC,"520,000 USD",,Noble Energy Inc.,,Noble Energy Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,612,612,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"450,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,480,480,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"400,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,360,360,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"300,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,360,360,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"300,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,300,300,RO (Reverse Osmosis),,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nippon Rensui,100,EPC,"250,000 USD",,Nippon Rensui,,Mitsubishi Chemical Corporation,Single Pass,Electric Motor,,,  
East Asia / Pacific,Land based,200,200,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Electronics,Hitachi,Stand-alone,Nippon Rensui,100,EPC,"170,000 USD",,Nippon Rensui,,Mitsubishi Chemical Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,240,120,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),,,Stand-alone,Nippon Rensui,100,EPC,"360,000 USD",,Nippon Rensui,"Toray Industries, Inc.",Mitsubishi Chemical Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,240,120,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nippon Rensui,100,EPC,"180,000 USD",,Nippon Rensui,"Toray Industries, Inc.",Mitsubishi Chemical Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,31000,5166.67,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,RJB Mining Ltd,Stand-alone,ACWA Services Ltd.,50,EPC,"12,000,000 USD",,ACWA Services Ltd.,Koch Membrane Systems (now Koch Separation Systems),Consolidated Contractors Co.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,2000,1000,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,,Stand-alone,ACWA Services Ltd.,100,EPC,"400,000 USD",,ACWA Services Ltd.,Koch Membrane Systems,Consolidated Contractors Co.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,744,744,RO (Reverse Osmosis),Hollow Fibre Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,Plessey Semiconductors Ltd.,Stand-alone,Culligan International Company,100,EPC,"540,000 USD",,Culligan International Company,Dow Filmtec (now Dupont Water Solutions),Culligan International Company,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,480,480,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"710,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,350,350,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,Stand-alone,Culligan International Company,100,EPC,"930,000 USD",,Culligan International Company,,Culligan International Company,Single Pass,Electric Motor,,,  
Western Europe,Land based,227,227,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Council of the Isles of Scilly,Stand-alone,,,EPC,"610,000 USD",,,,,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,946,946,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Stand-alone,American Engineering Services,100,EPC,"960,000 USD",,American Engineering Services,,American Engineering Services,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,606,606,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Stand-alone,Seven Seas Water Corporation,100,EPC,"1,600,000 USD",,Seven Seas Water Corporation,,Morgan Stanley Infrastructure Partners,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,303,303,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Koch Membrane Systems,100,EPC,"810,000 USD",,Koch Membrane Systems,Koch Membrane Systems,Koch Industries Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,264,132,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Schuster,Stand-alone,Purdesal,100,EPC,"280,000 USD",,Purdesal,,Purdesal,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,200,200,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Specific Equipment Company ,,EPC,"540,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,189,189,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Specific Equipment Company ,,EPC,"510,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,151,151,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Waterlink, Inc.",100,EPC,"410,000 USD",,"Waterlink, Inc.",Dow Filmtec (now Dupont Water Solutions),Xylem Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,113,113,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Waterlink, Inc.",100,EPC,"300,000 USD",,"Waterlink, Inc.",Dow Filmtec (now Dupont Water Solutions),Xylem Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,45420,11355,RO (Reverse Osmosis),,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,"City of Sunrise, FL",Stand-alone,"Biwater, Inc.",100,EPC,"21,300,000 USD",50,"Biwater, Inc.",Dow Filmtec (now Dupont Water Solutions),Biwater,,,,,  
North America,Land based,15140,7570,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Port St. Lucie ,Stand-alone,"Advanced Membrane Systems, Inc.",100,EPC,"12,420,000 USD",,"Advanced Membrane Systems, Inc.",,Granite Construction,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,14762,3690.5,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Power,,Stand-alone,"Ionics, Inc. ",100,EPC,"10,920,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,10000,10000,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Veolia Water Solutions and Technologies (VWST),100,EPC,"10,940,000 USD",0,Veolia Water Solutions and Technologies (VWST),,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,7570,1892.5,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Florida Keys Aqueduct Authority ,Stand-alone,Cardinal,100,EPC,"19,120,000 USD",,Cardinal,DuPont (now Dupont Water Solutions),Cardinal,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,7570,3785,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of St. Criswell,Stand-alone,,,EPC,"1,800,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,7570,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Florida Keys Aqueduct Authority ,Stand-alone,,,,"41,876,777 USD",,"TLC Diversified, Inc / TLC Diversified, Inc",,Consortium,,,,,  
North America,Land based,4087,4087,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Power,OKLAHOMA GAS,Stand-alone,Graver Water Systems,100,EPC,"2,990,000 USD",,Graver Water Systems,,Graver Water Systems,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,3785,3785,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Lucia Utilities,Stand-alone,Hydranautics,100,EPC,"3,490,000 USD",,Hydranautics,,Nitto Denko Corporation,,,,,  
North America,Land based,3785,3785,RO (Reverse Osmosis),,Wastewater,Municipalities as drinking water (TDS 10ppm - <1000ppm),,State College,Stand-alone,Siemens Water Technologies  ,100,EPC,"4,990,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,2665,666.25,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,Tucson Electric Power,Stand-alone,Graver Water Systems,100,EPC,"2,730,000 USD",,Graver Water Systems,,Graver Water Systems,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,2650,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Wynne Development Corp. ,Stand-alone,Layne Christensen Company,100,EPC,"336,000 USD",0,Layne Christensen Company,,Granite Construction,,,,,  
North America,Land based,2422,2422,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Okeelanta Corporation,Stand-alone,Harn R/O Systems Inc.,100,EPC,"2,340,000 USD",,Harn R/O Systems Inc.,,Harn R/O Systems Inc.,Single Pass,Electric Motor,,,  
North America,Land based,2125,2125,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Water & Power,100,EPC,"1,660,000 USD",,Water & Power,Koch Membrane Systems,Water & Power,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,2067,1033.5,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,TEXAS INSTRUMENTS,Stand-alone,,,EPC,"2,090,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1900,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Hellenic Chemis ,Stand-alone,Layne Christensen Company,100,EPC,"247,000 USD",,Layne Christensen Company,,Granite Construction,,,,,  
North America,Land based,1892,946,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,"Utilities, Inc.",Stand-alone,"Siemens Water Technologies  , H2O Innovation",100,EPC,"1,920,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,1635,545,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),Power,R.D.Power Stat.,Stand-alone,Koch Membrane Systems,100,EPC,"2,410,000 USD",,Koch Membrane Systems,Koch Membrane Systems,Koch Industries Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1461,1461,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Mostek,Stand-alone,Siemens Water Technologies  ,100,EPC,"1,460,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,1185,1185,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Envirogenics,100,EPC,"1,190,000 USD",,Envirogenics,Envirogenics,Envirogenics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
